nct_id,title,status,phase,conditions,keywords,interventions
NCT05646862,"A Study Evaluating the Efficacy and Safety of Inavolisib Plus Fulvestrant Compared With Alpelisib Plus Fulvestrant in Participants With HR-Positive, HER2-Negative, PIK3CA Mutated, Locally Advanced or Metastatic Breast Cancer Post CDK4/6i and Endocrine Combination Therapy",ACTIVE_NOT_RECRUITING,PHASE3,Breast Cancer,,Inavolisib | Fulvestrant | Alpelisib | Bupropion | Omeprazole | Midazolam
NCT06327451,Evaluate the Efficacy and Safety of Atorvastatin Combined With Temozolomide in the Treatment of Glioblastoma,RECRUITING,PHASE2,"Glioblastoma, IDH-wildtype",,Atorvastatin 20mg
NCT04248829,Clinical Trial of YH25448(Lazertinib) as the First-line Treatment in Patients With EGFR Mutation Positive Locally Advanced or Metastatic NSCLC (LASER301),ACTIVE_NOT_RECRUITING,PHASE3,Non-Small Cell Lung Cancer,Locally Advanced EGFR Sensitizing Mutation | Metastatic EGFR Sensitizing Mutation | EGFR TKI | Ex19del | L858R | First-line | YH25448 | Advanced Non-Small Cell Lung Cancer | Adenocarcinoma of lung | Non-squamous carcinoma of lung | Phase III | Lazertinib,Lazertinib 240 mg/160 mg | Gefitinib 250 mg | Lazertinib-matching placebo 240 mg/160 mg | Gefitinib-matching placebo 250 mg
NCT05601973,"Amivantamab, Lazertinib and Bevacizumab in Patients With EGFR-mutant Advanced Non-small Cell Lung Cancer With Progression on Previous Third-generation EGFR-TKI",ACTIVE_NOT_RECRUITING,PHASE2,Non Small Cell Lung Cancer,EGFR-mutant advanced non-squamous NSCLC,Amivantamab | Lazertinib | Zirabev
NCT05663866,Premedication to Reduce Amivantamab Associated Infusion Related Reactions,ACTIVE_NOT_RECRUITING,PHASE2,"Carcinoma, Non-Small-Cell Lung",,Dexamethasone | Montelukast | Methotrexate | Amivantamab | Lazertinib
NCT05099172,First in Human Study of BAY2927088 in Participants Who Have Advanced Non-small Cell Lung Cancer (NSCLC) With Mutations in the Genes of Epidermal Growth Factor Receptor (EGFR) and/or Human Epidermal Growth Factor Receptor 2 (HER2),ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",Advanced Non-small Cell Lung Cancer | EGFR Mutation | HER2 Mutation,,BAY2927088_formulation A | BAY2927088_formulation B_1 | BAY2927088_formulation B_2
NCT02513394,PALbociclib CoLlaborative Adjuvant Study,ACTIVE_NOT_RECRUITING,PHASE3,Breast Cancer,HR+/HER2- breast cancer | Palbociclib,Palbociclib | Standard Adjuvant Endocrine Therapy
NCT05286437,Phase II Lenvatinib and Pembrolizumab in Endocrine Resistant Breast Cancer With Letrozole,RECRUITING,PHASE2,Hormone Receptor-Positive HER2-Negative Advanced Breast Cancer,Advanced Breast Cancer,Oral Lenvatinib + Intravenous (IV) Pembrolizumab + Oral Letrozole
NCT05262400,A Study to Learn About the Study Medicine (Called PF-07220060 in Combination With PF-07104091) In Participants With Breast Cancer and Solid Tumors,ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",Breast Cancer | Solid Tumors,cyclin-dependent kinase 2 (CDK2) | cyclin-dependent kinase 4 (CDK4) | estrogen receptor-positive/human epidermal growth factor receptor 2 negative (ER+/HER2-) | estrogen receptor-positive/refractory hormone receptor positive (ER+/HER2+) | hormone receptor positive/human epidermal growth factor receptor 2 negative (HR+/HER2-),PF-07220060 + PF-07104091 combination dose escalation | PF-07220060 + PF-07104091 combination dose escalation | PF-07220060 + PF-07104091 combination dose escalation | PF-07220060 + PF-07104091 combination dose escalation | PF-07220060 + PF-07104091 combination dose escalation | PF-07104091 + PF-07220060 + fulvestrant dose expansion | PF-07104091 + PF-07220060 + fulvestrant dose expansion | PF-07104091 + PF-07220060 + letrozole dose expansion | PF-07220060 + PF-07104091 combination dose escalation | PF-07220060 + PF-07104091 combination dose escalation | PF-07220060 + PF-07104091 combination dose escalation
NCT05701787,Molecular Landscape Analysis and Clinical Implications for NSCLC Patients With Rare Mutations,RECRUITING,NA,"NSCLC | NSCLC Stage IV | NSCLC, Recurrent",NSCLC | rare mutations | molecular landscape | next-generation sequencing (NGS) | targeted therapy | immunotherapy | chemotherapy,
NCT07448116,Study of MCLA-129 in Combination With Ensartinib in Patients With Advanced Solid Tumors.,RECRUITING,"PHASE1, PHASE2",Solid Advanced Tumor,,MCLA-129 | Ensartinib
NCT06599216,Adebrelimab Combined With Dalpiciclib and Standard Endocrine Therapy for HR + / HER2- Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE2,Breast Cancer | HR+/HER2- Breast Cancer,,Adebrelimab+Dalpciclib+Standard Endocrine Therapy
NCT04620239,ENdoluminal LIGHT ActivatED Treatment of Upper Tract Urothelial Cancer (ENLIGHTED) Study,RECRUITING,PHASE3,Transitional Cell Cancer of Renal Pelvis and Ureter,UTUC | Low Grade,padeliporfin VTP
NCT05901428,TCb vs EC-T in High Risk ER+/HER2- Breast Cancer,RECRUITING,PHASE3,Hormone Receptor Positive HER-2 Negative Breast Cancer,LN≥4 | TCb | EC-T,Docetaxel | Carboplatin | Epirubicin | Cyclophosphamide
NCT07201519,Study of Safety/Feasibility of a Hybrid Model of Tertiary and Community Delivery of Hepatic Artery Infusion Chemotherapy,RECRUITING,PHASE2,Colorectal Cancer Metastatic | Intrahepatic Cholangiocarcinoma,hepatic artery infusion | chemotherapy | floxuridine,Hepatic Artery Infusion Pump (HAIP) | Standard Treatment | Community Treatment | Systemic Chemotherapy Standard of Care | Standard Of Care targeting driver mutations
NCT05948865,A Phase 1 Study of CPO301 in Adult Patients With Advanced or Metastatic Solid Tumors,RECRUITING,PHASE1,"Cancer | Cancer, Lung",Cancer | Non-Small Cell Lung Cancer | Solid Tumors | Metastatic | Advanced,CPO301
NCT06479239,Study of EGFRBi Armed Fresh PBMC in Metastatic or Unresectable Pancreatic Cancer,RECRUITING,"PHASE1, PHASE2",Pancreas Cancer | Pancreatic Cancer,,EGFR FPBMC
NCT07288632,Effects of Genomic Profiles on Thromboembolic Risk in Patients With Locally Advanced or Metastatic Non-small-cell Lung Cancer,RECRUITING,NA,Venous Thromboembolism (VTE) | NSCLC (Advanced Non-small Cell Lung Cancer),NSCLC | venous thromboembolism | genomic profile | activation of coagulation cascade,
NCT04862663,Capivasertib + CDK4/6i + Fulvestrant for Advanced/Metastatic HR+/HER2- Breast Cancer (CAPItello-292),RECRUITING,PHASE3,Locally Advanced (Inoperable) or Metastatic Breast Cancer,Locally advanced (inoperable) or Metastatic Breast Cancer,Capivasertib | Fulvestrant | Palbociclib | Ribociclib | Abemaciclib
NCT06756932,BGB-21447 (Bcl-2 Inhibitor) Combinations for Adults With Hormone-Receptor Positive (HR+)/Human Epidermal Growth Factor Receptor 2 Negative (HER2-) Metastatic Breast Cancer,RECRUITING,PHASE1,Hormone-receptor-positive Breast Cancer | HER2-negative Breast Cancer | Metastatic Breast Cancer,BGB-21447 | BGB-43395 | metastatic breast cancer | Bcl-2i | CDK4i,BGB-21447 | Fulvestrant | BGB-43395
NCT06403436,"A Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Efficacy of TT125-802 in Subjects With Advanced Solid Tumors",ACTIVE_NOT_RECRUITING,PHASE1,Advanced Solid Tumor | Adult Solid Tumor | Adult Disease | Cancer | NSCLC | EGFR | KRAS G12C | Squamous Cell Lung Cancer,TOLREMO | Drug resistance | TT125-802 | Small molecule | Bromodomain inhibitor | NSCLC,TT125-802
NCT02861898,Super-selective Intra-arterial Repeated Infusion of Cetuximab for the Treatment of Newly Diagnosed Glioblastoma,RECRUITING,"PHASE1, PHASE2","Glioblastoma | Brain Cancer | Brain Neoplasm | Brain Tumor | Brain Neoplasm, Malignant | EGFR Gene Overexpression | GBM",EGFR | Epidermal Growth Factor Receptor | EGFRvIII,Intra-arterial Cetuximab | Intra-arterial Mannitol
NCT04143607,ASK120067 Versus Gefitinib as First-line Treatment for EGFRm Locally Advanced or Metastatic NSCLC,ACTIVE_NOT_RECRUITING,PHASE3,Locally Advanced or Metastatic NSCLC,,ASK120067 | Placebo Gefitinib 250 mg | Gefitinib | Placebo ASK120067
NCT01273610,Tolerability of the Combination of Lapatinib and Trastuzumab in Adults Age 60 or Older With HER2 Positive Locally Advanced or Metastatic Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE2,Breast Neoplasms | HER2/Neu Positive | Geriatric Health Services,"Breast Neoplasms | HER2 protein, human | Geriatric Health Services | Antineoplastic Agents, Combined | Geriatric Assessment | Pharmacokinetics | Toxicity | Patient Adherence",Lapatinib | Trastuzumab | laboratory biomarker analysis | pharmacological study
NCT06282575,Efficacy and Safety of Zanidatamab With Standard-of-care Therapy Against Standard-of-care Therapy for Advanced HER2-positive Biliary Tract Cancer,RECRUITING,PHASE3,Biliary Tract Cancer,JZP598 | ZW25 | HER-2 positive BIliary Tract cancer | Gallbladder Cancer | Intrahepatic Cholangiocarcinoma (ICC) | Extrahepatic Cholangiocarcinoma (ECC) | Zanidatamab | HER-2 overexpression | HER-2 amplification,Zanidatamab | Cisplatin | Gemcitabine | Pembrolizumab | Durvalumab
