nct_id,title,status,phase,conditions,keywords,interventions
NCT05827081,Phase IIIb Study of Ribociclib + ET in Early Breast Cancer,RECRUITING,PHASE3,Early Breast Cancer,Hormone receptor positive (HR+) | Human epidermal growth factor receptor-2 negative (HER2-) | Early breast cancer (EBC) | premenopausal | postmenopausal | male breast cancer | ribociclib | LEE011 | Endocrine therapy (ET),Ribociclib | Letrozole | Ansastrozole | Goserelin | Leuprolide | Exemestane
NCT06413745,Phase II Clinical Study of SHR-A1811 in Patients With HER2 Expression / Amplification of Locally Advanced Unresectable or Recurrent Metastatic Biliary Tract Cancer,RECRUITING,PHASE2,HER2 Expression / Amplification in Patients With Biliary Tract Cancer,,SHR-A1811
NCT06905301,Implementation Study to Describe and Compare Retention Rate and Adherence to Adjuvant Therapy With Ribociclib With and Without Usage of Mobile Application in Patients With HR+ HER2-negative Stage II and III Breast Cancer in Real-world Practice,RECRUITING,NA,Breast Cancer,Breast cancer,Ribociclib | Letrozole | Anastrozole
NCT05977036,BettER: Biomarker Driven Early Therapeutic Selection in Patients With HR+ HER2- Metastatic or Unresectable Breast Cancer,RECRUITING,NA,Metastatic Breast Cancer | Unresectable Breast Cancer,ER+ HER2- metastatic breast cancer | biomarkers | thymidine kinase,DiviTum® TKa assay | CDK4/6 + Endocrine therapy
NCT05378464,Adoptive T Cell Therapy Following HER2-Pulsed Dendritic Cell Vaccine & Pepinemab /Trastuzumab in Patients w/ Metastatic HER2+ Breast Cancer,RECRUITING,PHASE1,HER2-positive Breast Cancer,Breast Cancer | T-Cell therapy,Dendritic Cell (DC1) Vaccine | Trastuzumab | Pepinemab | T-Cell therapy
NCT05935384,SIBYL: obServation of Therapy Response With lIquid BiopsY evaLuation,RECRUITING,NA,Non-small Cell Lung Cancer | Colorectal Cancer | Breast Cancer,,Guardant360
NCT06767436,A Multi-center Real-world Efficacy and Safety of Trastuzumab-deruxtecan in Advanced Gastric Cancer,RECRUITING,NA,Advanced Gastric Cancer,Trastuzumab-deruxtecan,
NCT05007379,Study to Determine the Antitumor Activity of New CAR-macrophages in Breast Cancer Patients' Derived Organoids,RECRUITING,NA,Breast Cancer,,
NCT06171360,A Study of the Gut Microbiome in Hormone Receptor-positive HER2-negative Breast Cancer Treated With CDK4/6 Inhibitors,RECRUITING,NA,Breast Cancer,,
NCT07455188,"A Study on the Efficacy and Safety of Switching Between Two Targeted Strategies, HP+Chemotherapy and HPy+Chemotherapy, After Treatment Progression in HER-2 Positive Advanced or Metastatic Breast Cancer",RECRUITING,NA,Breast Cancer,,Antitumor treatment plan
NCT04561362,Study BT8009-100 in Subjects With Nectin-4 Expressing Advanced Malignancies,ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2","Urinary Bladder Neoplasm | Triple Negative Breast Neoplasms | Hormone Receptor Positive, HER2-negative Neoplasms | Hormone Receptor Positive, HER2-low Neoplasms | Breast Neoplasms | Non-Small-Cell Lung Neoplasms | Ovarian Neoplasm | Advanced Solid Tumor",Nectin-4 | Solid tumor | Transitional urothelial carcinoma | Renal insufficiency,BT8009 | Pembrolizumab
NCT05058183,Safe De-escalation of Chemotherapy for Stage 1 Breast Cancer,RECRUITING,NA,Breast Cancer,,ctDNA
NCT02957968,Neoadjuvant Pembrolizumab + Decitabine Followed by Std Neoadj Chemo for Locally Advanced HER2- Breast Ca,ACTIVE_NOT_RECRUITING,PHASE2,Breast Adenocarcinoma | Estrogen Receptor- Negative Breast Cancer | Estrogen Receptor-positive Breast Cancer | HER2/Neu Negative | Invasive Breast Carcinoma | Progesterone Receptor Negative | Progesterone Receptor Positive Tumor | Stage II Breast Cancer | Stage IIA Breast Cancer | Stage IIB Breast Cancer | Stage IIIA Breast Cancer | Stage IIIB Breast Cancer | Triple-negative Breast Carcinoma,Breast Cancer,Doxorubicin | Cyclophosphamide | Paclitaxel | Carboplatin | Decitabine | Pembrolizumab
NCT06468280,Synergistic Effects of PD-1 Antibody and Chemotherapy/Targeted Therapy Followed by Surgery-centric Local Treatment in Patients With Limited-metastatic Gastric Cancer,RECRUITING,PHASE2,Gastric Cancer | GastroEsophageal Cancer,Limited metastasis | Surgery | Local treatment | Gastric cancer | Perioperative treatment,Local treatment (Surgical) | PD-1 Monoclonal Antibody | XELOX/SOX Chemotherapy Regimen | Local Treatment (Non-surgical) | Trastuzumab | Zolbetuximab
NCT07356544,"Observational, Prospective, Multi-centric Study Exploring HER2 Mutations Incidence and Therapeutic Management in aNSCLC",RECRUITING,NA,NSCLC (Advanced Non-small Cell Lung Cancer) | HER2,HER2 mutated,
NCT03944434,FACILE: FeAsibility of First-line RiboCIclib in OLdEr Patients with Advanced Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE2,Breast Cancer,ribociclib | hormone receptor positive,"Ribociclib | Aromatase Inhibitors, non steroideal | LHRH agonist"
NCT06334432,Safety and Efficacy Study of NUV-1511 in Adult Patients With Advanced Solid Tumors,ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",Advanced Solid Tumor | HER2-negative Breast Cancer | Metastatic Castration-resistant Prostate Cancer (mCRPC) | Pancreatic Cancer | Platinum-resistant Ovarian Cancer (PROC),,NUV-1511
NCT06087120,Predicting BReast cAncer Response to neoadjuVant Therapy by ctDNA Assessment,RECRUITING,NA,Breast Cancer Female | Stage II Breast Cancer | Stage III Breast Cancer | HER2-positive Breast Cancer | Triple Negative Breast Cancer,Liquid Biopsy | Circulating Tumour DNA | Vietnam | Indonesia,
NCT06058988,Trastuzumab Deruxtecan (T-DXd) for People With Brain Cancer,RECRUITING,PHASE2,Brain Cancer | Glioblastoma | Metastatic Cancer | Leptomeningeal Metastasis | Recurrent Glioblastoma,Brain Cancer | Glioblastoma | Metastatic Cancer | Leptomeningeal Metastasis | Recurrent Glioblastoma | Trastuzumab Deruxtecan | T-DXd | 22-208 | Memorial Sloan Kettering Cancer Center,Trastuzumab deruxtecan
NCT05856383,Efficacy and Safety of Inetetamab Combined With Pyrotinib and Vinorelbine in ABC,RECRUITING,NA,HER2-positive Advanced Breast Cancer,Advanced breast cancer，HER2-positive,Inetetamab Combined With Pyrotinib and Vinorelbine
NCT06418594,Adebrelimab Plus Apatinib and Etoposide for the Treatment of HER2-Negative Breast Cancer Brain Metastasis,RECRUITING,PHASE2,HER2-negative Breast Cancer Brain Metastases,,Adebrelimab | Apatinib | Etoposide
NCT07148141,Impact of Breast Cancer on Human Folliculogenesis,ACTIVE_NOT_RECRUITING,NA,"Breast Cancer Female | Infertility, Female",oncofertility | Breast cancer | Fertility preservation | Folliculogenesis | Cholesterol biosynthesis,Ovarian stimulation
NCT07524322,Study of RGT-490 in Patients With PIK3CA-Mutated Advanced Solid Tumors,RECRUITING,PHASE1,Breast Cancer | Ovarian Cancer | Endometrial Cancer | PIK3CA Mutation | HER2- Negative Breast Cancer | Advanced Breast Cancer | Unresectable Solid Tumor | Hormone Receptor Positive Tumor | Cervical Cancer,,RGT-490
NCT06167694,Clinical Study of HRS-8080 in Combination With Dalpiciclib Isethionate Tablets in Patients With Unresectable or Metastatic Breast Cancer,RECRUITING,"PHASE1, PHASE2",Unresectable or Metastatic Breast Cancer,,HRS-8080; Dalpiciclib Isethionate Tablets
NCT02344472,Detect V / CHEVENDO (Chemo vs. Endo),ACTIVE_NOT_RECRUITING,PHASE3,Metastatic Breast Cancer,MBC | HER2 | CTC | endocrine therapy | Pertuzumab | Trastuzumab | HER2 therapy | Ribociclib,pertuzumab | Trastuzumab | Capecitabine | Paclitaxel | Vinorelbine | Docetaxel | Exemestane | Letrozole | Anastrozole | Fulvestrant | Ribociclib | nab-Paclitaxel | eribulin | leuprorelin | goserelin
NCT04893109,ATEMPT 2.0: Adjuvant T-DM1 vs TH,RECRUITING,PHASE2,Breast Cancer | HER2-positive Breast Cancer,Breast Cancer | HER2-positive Breast Cancer,trastuzumab-emtansine | Trastuzumab SC | Paclitaxel
NCT06079983,"JSKN003 Versus Treatment Of Physician'S Choice For HER2-low, Unresectable and/or Metastatic Breast Cancer Subjects",RECRUITING,PHASE3,Breast Cancer,,JSKN003 | Capecitabine tablets | Gemcitabine hydrochloride for injection | Vinorelbine tartrate injection | Paclitaxel for injection (albumin-bound type) | Docetaxel injection | Eribulin mesylate injection
NCT07421141,De-escalation of Neoadjuvant Treatment (Paclitaxel + HP) in Early HER2+ Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE2,Breast Cancer | HER2-positive Breast Cancer | Early Breast Cancer,Neoadjuvant Therapy | De-escalation | Paclitaxel | Trastuzumab | Pertuzumab | Pathological Complete Response | THP Regimen,Paclitaxel | trastuzumab | Pertuzumab | Docetaxel | carboplatin | Radical Surgery | Adjuvant Systemic Therapy
NCT06942234,Study of JSKN016 Combination Therapy in Inoperable Locally Advanced or Metastatic HER2-Negative Breast Cancer,RECRUITING,"PHASE1, PHASE2",Inoperable Locally Advanced HER2-Negative Breast Cancer | Metastatic HER2-Negative Breast Cancer,,JSKN016 | Capecitabine | Paclitaxel (albumin bound) | Eribulin | Pembrolizumab
NCT04022616,Myeloid-Derived Suppressor Cell Function in Breast Cancer Patients,RECRUITING,NA,Breast Cancer,,Specimen collection
NCT05861895,HF158K1 in Patients With HER-2 Expressing Advanced Solid Tumors,RECRUITING,PHASE1,"Solid Tumors, Adult",,HF158K1 / 1.4 g lipid dose | HF158K1 / 2.2 g lipid dose | HF158K1 / 2.9 g lipid dose
NCT05768139,First-in-Human Study of Tersolisib (STX-478) as Monotherapy and in Combination With Other Antineoplastic Agents in Participants With Advanced Solid Tumors,RECRUITING,"PHASE1, PHASE2","Breast Cancer | Solid Tumors, Adult","Breast Neoplasms | Neoplasms by Site | Neoplasms | Breast Diseases | HER2-negative breast cancer | HR-positive breast cancer | Gynecologic cancer | Endometrial cancer | Ovarian cancer | Cervical cancer | Head and neck cancer | Head and neck squamous cell carcinoma | Fulvestrant | Antineoplastic Agents | PI3Kα | PI3K alpha | PI3Kα mutation | Alpelisib | STX-478 | PI3Kα inhibitor | Estrogen Receptor Antagonists | Estrogen Antagonists | Hormone Receptor Antagonists | Hormone Antagonists | Hormones, Hormone Substitutes, and Hormone Antagonists | Physiological Effects of Drugs | Palbociclib | Ribociclib | PIK3CA | PIK3CA mutation | Aromatase inhibitor | Letrozole | Anastrozole | Exemestane | Imlunestrant | Inavolisib | Capivasertib | Abemaciclib",STX-478 | Fulvestrant | Ribociclib | Palbociclib | Letrozole | Anastrozole | Exemestane | Tamoxifen | Abemaciclib | Imlunestrant | Metformin
NCT05525767,Chemotherapy Combined With Bevacizumab Neoadjuvant Therapy for HER2-negative Breast Cancer,RECRUITING,PHASE4,Solid Tumor,,Bevacizumab
NCT04546009,"A Study Evaluating the Efficacy and Safety of Giredestrant Combined With Palbociclib Compared With Letrozole Combined With Palbociclib in Participants With Estrogen Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer (persevERA Breast Cancer)",ACTIVE_NOT_RECRUITING,PHASE3,"Estrogen Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer",,Giredestrant | Giredestrant-matched Placebo | Letrozole | Letrozole-matched Placebo | Palbociclib | LHRH Agonist
NCT03989089,Study of Pembrolizumab in Metastatic HER2-negative Breast Cancer Patients With APOBEC3B Mutation,ACTIVE_NOT_RECRUITING,PHASE2,HER2-Negative Breast Cancer,Germline APOBEC3B mutation | Pembrolizumab,Pembrolizumab
NCT07287917,Study of AMXT 1501 and DFMO in Combination With Standard Therapies in Advanced Solid Tumors,RECRUITING,"PHASE1, PHASE2",Melanoma (Skin Cancer) | HER2-low Hormone Receptor Positive Breast Cancer,breast cancer | melanoma | AMXT 1501 | DFMO | polyamine inhibitor | advanced solid tumor | combination therapy | polyamine,AMXT 1501 Dicaprate | DFMO | Fulvestrant | Capivasertib | Pembrolizumab
NCT04208178,Study of Alpelisib (BYL719) in Combination With Trastuzumab and Pertuzumab as Maintenance Therapy in Patients With HER2-positive Advanced Breast Cancer With a PIK3CA Mutation,ACTIVE_NOT_RECRUITING,PHASE3,Advanced HER2+Breast Cancer,BYL719 | alpelisib | Advance Breast Cancer | maintenance | HER2 positive | induction | PI3K | Trastuzumab | Pertuzumab,Alpelisib | Alpelisib matching Placebo | Trastuzumab | Pertuzumab
NCT06227117,"Neoadjuvant Study of DV in Combination Toripalimab or Sequence Chemotherapy in HR-negative, HER2 Low-expressing Breast Cancer",RECRUITING,PHASE2,Breast Cancer,Breast Cancer | HR-negative | HER2 low-expressing,Disitamab Vedotin Injection （18 weeks） | Toripalimab （18weeks） | Carboplatin | Disitamab Vedotin Injection （12 weeks） | Sequential Epirubicin | Sequential CTX | Toripalimab （12weeks）
NCT06145308,Precision Treatment of Recurrent/Metastatic Salivary Gland Carcinoma Guided by Molecular Typing,RECRUITING,PHASE2,Salivary Gland Carcinoma | Precision Therapy,,"Cohort 1 (HER2-positive, RC48-ADC) | Cohort 2 (NTRK-fusion or NTRK-mutant) | Cohort 3 (AR-positive, leuprolide + bicalutamide + abiraterone) | TROP2 ADC | TKI | Albumin-paclitaxel + platinum | Albumin-paclitaxel + carboplatin + apatinib + camrelizumab | albumin-bound paclitaxel+trastuzumab+pyrotinib | HER2,trastuzumab deruxtecan± pertuzumab | AR,AR antagonist ++ goserelin + pertuzumab + trastuzumab | AR,AR antagonist +goserelin +docetaxel | ivonescimab + investigator-choice platinum doublet+ | iparomlimab + tuvonralimab | cadonilimab | CDK4/6 inhibitor+AI or fulvestrant | alpelisib+fulvestrant | PARP inhibitor | enfortumab vedotin | HER2, pyrotinib + pertuzumab/trastuzumab | vebecotutamab ±lenvatinib"
NCT06820255,DDR Genes Alteration and Response to Platinum-based Chemotherapy in Advanced Urothelial Cancer.,RECRUITING,PHASE4,"Bladder (Urothelial, Transitional Cell) Cancer Metastatic or Unresectable | Upper Tract Urothelial Cancer",DNA damage response genes | cisplatin | carboplatin,Platinum + Gemcitabine | Avelumab first-line maintenance | NGS test for DDR alterations
NCT07241793,Phase II Study of Trastuzumab Rezetecan or in Combination With Adebrelimab in HER2-Expressing Locally Advanced or Metastatic Urothelial Carcinoma (la/mUC),RECRUITING,PHASE2,Urothelial Carcinoma | Advanced Urothelial Carcinoma | Urothelial Carcinoma Recurrent,Urothelial carcinoma | Antibody-Drug Conjugate | immune checkpoint inhibitor,Adebrelimab | Trastuzumab Rezetecan
NCT03425838,Endocrine Therapy Plus CDK4/6 in First or Second Line for Hormone (SONIA) Receptor Positive Advanced Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE3,Breast Neoplasm Female,CDK 4/6 inhibitor,CDK 4/6 inhibitor | Non-Steroidal Aromatase Inhibitor | Fulvestrant
NCT06500052,A Study of BL-M17D1 in Patients With Locally Advanced or Metastatic HER2 Positive/Lower Expression Gastrointestinal Cancer and Other Solid Tumors,RECRUITING,PHASE1,Esophageal Cancer | Gastric Cancer | Pancreatic Cancer | Colorectal Cancer | Solid Tumor,,BL-M17D1
NCT05582499,Fudan University Shanghai Cancer Center Breast Cancer Precision Platform Series Study- Neoadjuvant Therapy,RECRUITING,PHASE2,Breast Neoplasm | Breast Cancer | Breast Tumors | Triple-Negative Breast Cancer (TNBC) | HER2-positive Breast Cancer | HER2-negative Breast Cancer | Hormone Receptor Positive Tumor | Hormone Receptor Negative Tumor | Early-stage Breast Cancer | Locally Advanced Breast Cancer,,Dalpiciclib | Pyrotinib | SHR-A1811 | SHR-1316 | Camrelizumab | SHR-A1921 | Pertuzumab | Trastuzumab | Goserelin | Letrozole | Nab paclitaxel | Carboplatin | Epirubicin | Cyclophosphamide | Fluzoparib | Apatinib | Famitinib | HB1801 | LEM | TQB2102 | Benmelstobart | Anlotinib | TQB2868 | Ivonescimab | JS207 | JSKN003 | HRS-4508 | SHR-4602 | paclitaxel
NCT04144569,PD-1 Combined With Pyrotinib for Chemotherapy Failure HER2 Insertion Mutation Advanced NSCLC,RECRUITING,PHASE2,HER2 Insertion Mutation Positive Advanced NSCLC,,PD-1 Combined With Pyrotinib
NCT06974370,"Avoiding Radiation Therapy Due to Intracranial Response to Chemotherapy, Targeted Therapy and/or Immuno-ONcology Therapy for Brain Metastases: Pilot Pragmatic Trial",RECRUITING,PHASE2,"Brain Metastases, Adult | Brain Metastases From Non-small Cell Lung Cancer (NSCLC)",Brain Metastases | Radiation Therapy | NSCLC | Quality of Life | FACT-Br | NANO Scale | Pragmatic Trial,Active Surveillance
NCT05306041,"Neoadjuvant Endocrine Therapy +/- the PI3K Inhibitor Inavolisib in HER2+, HR+, PIK3CA Mutant Early Breast Cancer",RECRUITING,PHASE2,HER2-positive Breast Cancer,GeparPiPPa | German Breast Group,Inavolisib | PHESGO | Endocrine therapy
NCT06420973,RC48 Treatment for Platinum Sensitive Recurrent Ovarian Cancer With HER2 Expression,RECRUITING,PHASE2,Ovarian Carcinoma | Fallopian Tube Carcinoma | Primary Peritoneal Carcinoma,,RC48+carboplatin±bevacizumab
NCT04133077,Xenografts Development From Surgical Tumor Samples of Patients With Triple Negative or Luminal B Breast Cancer,RECRUITING,NA,Breast Cancer Female,PDX,blood samples collection
NCT06875128,Evaluation of the Safety and Efficacy of Treatment w/High Dose Melphalan Given Directly Into the Liver Followed by Treatment w/Approved Cancer Treatment or Approved Cancer Treatment Alone in Patients w/ Metastatic Breast Cancer w/Liver Dominant Disease,RECRUITING,PHASE2,Metastatic Breast Cancer in the Liver,melphalan | melphalan/HDS | melphalan/hepatic delivery system | eribulin | vinorelbine | capecitabine | metastatic breast cancer | MBC | liver dominant disease | metastatic breast cancer in the liver | hepatic delivery system | PHP | HER2-negative breast cancer | HER-2 negative | Hormone Receptor-Positive disease,"Melphalan/HDS followed by Physician's choice of SOC (eribulin, vinorelbine, or capecitabine) | Physician's choice of SOC (eribulin, vinorelbine, or capecitabine)"
NCT03389230,Memory-Enriched T Cells in Treating Patients With Recurrent or Refractory Grade III-IV Glioma,ACTIVE_NOT_RECRUITING,PHASE1,Glioblastoma | Malignant Glioma | Recurrent Glioma | Refractory Glioma | WHO Grade III Glioma,,HER2(EQ)BBζ/CD19t+ T cells | Laboratory Biomarker Analysis | Leukapheresis
NCT01996267,"Neoadjuvant Chemotherapy in HER2 Positive Breast Cancer, TRAIN-2",ACTIVE_NOT_RECRUITING,PHASE3,Breast Cancer | HER2 Positive,neoadjuvant | breast cancer | HER2 positive,PTC+Pertuzumab | FEC-T+Pertuzumab
NCT06977893,"Neoadjuvant Chemotherapy in Combination With Toripalimab for HR+/HER2- Breast Cancer : a Randomized, Open-label, Parallel-controlled, Multi-center Phase III Study (NEOTORCH-BREAST04)",RECRUITING,PHASE3,HR+/HER2- Breast Cancer,Breast cancer | Toripalimab | Adjuvant Chemotherapy | Immunotherapy | HR-positive HER2-negative,Neoadjuvant Chemotherapy in Combination with Toripalimab | Neoadjuvant Chemotherapy
NCT03653507,"A Study of Zolbetuximab (IMAB362) Plus CAPOX Compared With Placebo Plus CAPOX as First-line Treatment of Subjects With Claudin (CLDN) 18.2-positive, HER2-negative, Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma (GLOW).",ACTIVE_NOT_RECRUITING,PHASE3,Locally Advanced Unresectable Gastroesophageal Junction (GEJ) Adenocarcinoma or Cancer | Locally Advanced Unresectable Gastric Adenocarcinoma or Cancer | Metastatic Gastric Adenocarcinoma or Cancer | Metastatic Gastroesophageal Junction (GEJ) Adenocarcinoma,CLDN 18.2 | gastroesophageal junction cancer | adenocarcinoma | IMAB362 | oxaliplatin | HER2 | claudiximab | capecitabine | gastric cancer | HER2 Negative | zolbetuximab,zolbetuximab | oxaliplatin | capecitabine | placebo
NCT06686394,Study of Patritumab Deruxtecan With Other Anticancer Agents in Participants With HER2 Positive Breast Cancer That Has Spread and Cannot Be Surgically Removed (MK-1022-009),RECRUITING,"PHASE1, PHASE2",Breast Neoplasms | Breast Cancer,,Patritumab deruxtecan | Trastuzumab | Trastuzumab Biosimilar | Pertuzumab | Tucatinib
NCT07085767,Palazestrant in Combination With Ribociclib for the First-line Treatment of ER+/HER2- Advanced Breast Cancer,RECRUITING,PHASE3,Breast Cancer | Locally Advanced Breast Cancer | Metastatic Breast Cancer | ER Positive Breast Cancer | HER2 Negative Breast Carcinoma,Randomized | Multicenter | Double-Blind | Active-Controlled | Phase 3 | Palazestrant | Complete Estrogen Receptor Antagonist (CERAN) | Selective Estrogen Receptor Degrader (SERD) | Ribociclib | CDK4/6i | Letrozole | Aromatase inhibitors | Antineoplastic agents,Palazestrant | Letrozole-matching placebo | Ribociclib | Letrozole | Palazestrant matching-placebo
NCT06349044,"A Randomized, Multicenter Phase II Basket Study of Hypofractionated Radiotherapy/Stereotactic Body Radiotherapy Followed by Immunotherapy-Based Systemic Therapy +/- L. Rhamnosus M9 for the First-Line Treatment of Advanced Digestive System Malignancies.",RECRUITING,NA,Her-2 Negative Adenocarcinoma of the Gastro-oesophageal Junction/Gastric Adenocarcinoma | Hepatocellular Carcinoma | Biliary Tract Carcinoma | Colorectal Adenocarcinoma,radiotherapy | immunotherapy | L. rhamnosus M9,Hypofractionated radiotherapy/SBRT（5-10Gy/fx，3-5 fx） | Anti-PD-1 monoclonal antibody | Oxaliplatin and Capecitabine | Anti-VEGF 15mg/kg | Anti-VEGF 7.5mg/kg | Gemcitabine and Cisplatin
NCT07000253,Timing of Minimally Invasive Local Treatment After First-Line Systemic Therapy in Oligometastatic Esophageal or Gastric Adenocarcinoma,RECRUITING,"PHASE2, PHASE3","Esophageal Cancer | Gastric (Stomach) Cancer | Gastric Adenocarcinoma | Gastric Adenocarcinoma or Gastroesophageal Junction Adenocarcinoma or Esophageal Carcinoma | Esophageal Carcinoma | Gastric (Cardia, Body) Cancer",,Chemotherapy | Targeted Systemic Therapy | Immunotherapy | Surgery | Radiotherapy
NCT07510802,Dual-Target CAR-NK Cells for Advanced Breast Cancer HER2+ TNBC,RECRUITING,"PHASE1, PHASE2",Breast Cancer (Advanced/Metastatic) | HER2-positive Breast Cancer | Triple-negative Breast Cancer,CAR-NK | Dual targeting | Adoptive cellular immunotherapy | HER2 (ERBB2) | MUC1 | ROR1 | Mesothelin | Solid tumor | Biomarker-guided cohort assignment | Lymphodepletion | Fludarabine | Cyclophosphamide,Dual-target CAR-NK cells | Lymphodepleting | Supportive care
NCT06766305,QL1706 Combined With SOX Used in Theperioperative Treatment,RECRUITING,"PHASE1, PHASE2",Gastric Cancers | Esophagogastric Junction Cancers,,QL1706 combined with SOX
NCT07401537,Efficacy and Safety of Extended-Dose Interval Immunotherapy Versus Standard-Dose Interval Immunotherapy for Advanced Triple-Negative Breast Cancer,RECRUITING,PHASE2,Triple -Negative Breast Cancer | Breast Cancer,Immune-checkpoint inhibitors | Dose Interval,Extended-Dose Interval Immunotherapy | Standard-Dose Interval Immunotherapy
NCT07117630,"An Open-Label, Bayesian Adaptive Phase II Clinical Study in HR+/HER2- Advanced Breast Cancer After Progression on Standard Therapy",RECRUITING,PHASE2,Breast Cancer,,L-Ornithine L-Aspartate | CDK4/6 inhibitor | Fulvestrant | N-Acetylcysteine (NAC) Treatment
NCT07607119,PULSAR Combined With Immunotherapy for Unresectable Locally Advanced Gastric Cancer,RECRUITING,NA,Gastric Adenocarcinoma | Stomach Neoplasms | Locally Advanced Gastric Cancer | Unresectable Gastric Cancer,HER2-negative Stomach Cancer | Microsatellite Stable Gastric Cancer,PULSAR (Personalized Ultrafractionated Stereotactic Adaptive Radiation Therapy)
NCT05098210,"Personalized Neo-Antigen Peptide Vaccine for the Treatment of Stage IIIC-IV Melanoma, Hormone Receptor Positive HER2 Negative Metastatic Refractory Breast Cancer or Stage III-IV Non-Small Cell Lung Cancer",RECRUITING,PHASE1,Anatomic Stage IV Breast Cancer AJCC v8 | Clinical Stage IV Cutaneous Melanoma AJCC v8 | Locally Advanced Cutaneous Melanoma | Locally Advanced Mucosal Melanoma | Metastatic Acral Melanoma | Metastatic Conjunctival Melanoma | Metastatic Cutaneous Melanoma | Metastatic HER2-Negative Breast Carcinoma | Metastatic Hormone Receptor-Positive Breast Carcinoma | Metastatic Lung Non-Small Cell Carcinoma | Metastatic Malignant Solid Neoplasm | Metastatic Mucosal Melanoma | Pathologic Stage IIIC Cutaneous Melanoma AJCC v8 | Pathologic Stage IIID Cutaneous Melanoma AJCC v8 | Recurrent Cutaneous Melanoma | Recurrent HER2-Negative Breast Carcinoma | Recurrent Hormone Receptor-Positive Breast Carcinoma | Recurrent Lung Non-Small Cell Carcinoma | Recurrent Mucosal Melanoma | Stage III Lung Cancer AJCC v8 | Stage IV Lung Cancer AJCC v8 | Unresectable Acral Melanoma | Unresectable Cutaneous Melanoma | Unresectable Lung Non-Small Cell Carcinoma | Unresectable Mucosal Melanoma,,Neoantigen Peptide Vaccine | Nivolumab | Poly ICLC | Echocardiography | Multigated Acquisition Scan | Biopsy | Biospecimen Collection | Computed Tomography | Positron Emission Tomography
NCT04854005,"Use of Sentinel Lymph Node Biopsy in Patients With Early-Stage, Palpable Node-Positive HR+/HER2- Breast Cancer Having Upfront Surgery and Adjuvant Radiation",ACTIVE_NOT_RECRUITING,NA,Breast Cancer,Sentinel Lymph Node Biopsy | Palpable Node-Positive HR+/HER2 | 21-183,Breast surgery
NCT03917082,Limited Adjuvant Endocrine Therapy for Low Risk Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE2,Breast Cancer Female | Hormone Receptor Positive Tumor,endocrine therapy,Tamoxifen Citrate
NCT06734182,Neoadjuvant Envafolimab Plus Disitamab Vedotin and Carboplatin in Resectable HER2-Mutant Non-Small-Cell Lung Cancer,RECRUITING,PHASE2,Non-small Cell Lung Cancer,Stage II-IIIB | HER2-Mutant | Non-small Cell Lung Cancer,Envafolimab injections+intravenous Disitamab Vedotin+carboplatin
NCT06727227,Real-world Study of Trastuzumab Deruxtecan in Patients With Unresectable or Metastatic HER2-low Breast Cancer,RECRUITING,NA,Breast Cancer,,trastuzumab deruxtecan
NCT06101082,A Clinical Study Evaluating the Safety and Efficacy of Anti-HER2-CAR-T Cells Injection in Patients With Solid Tumors,RECRUITING,PHASE1,Solid Tumor,CAR-T | solid tumor | Cell therapy | HER2,Intravenous infusion anti-HER2-CAR-T cell
NCT06612814,PARP Inhibitor With CDK4/ 6 Inhibitor and Endocrine Therapy in HR+/ HER2-Advanced Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE3,Breast Cancer Metastatic,,Fluzoparib | Dalpiciclib | Fulvestrant/AI
NCT07514065,"TSL2109 Capsules in Advanced Solid Tumor Patients: Safety, Tolerability, PK and Preliminary Efficacy",RECRUITING,PHASE1,Metastatic Castration-Resistant Prostate Cancer Patients,,Treatment arm: TSL2109 capsules。Oral administration。
NCT06255392,"Randomized, Open, Controlled, Multicenter Phase III Clinical Study of Fluzoparib in Combination With Apatinib Versus Investigator-Selected Chemotherapy for HRD-Positive/HER2-negative Advanced Breast Cancer",RECRUITING,PHASE3,Fludzoparib&#34; and Anti-angiogenic | HRD-positive/HER2-negative Advanced Breast Cancer,,Fluzoparib | Apatinib Mesylate | Capecitabine tablets | Vinorelbine Tartrate Oral | Eribulin mesylate injection | Gemcitabine Hydrochloride | Paclitaxel-albumin
NCT05809752,A First in Human Dose Escalation of Dendritic Cell Vaccine (DCV),ACTIVE_NOT_RECRUITING,PHASE1,Leptomeningeal Disease | Triple Negative Breast Cancer | HER2-positive Breast Cancer,,Dendritic Cell Vaccine
NCT06068985,Classifying for HER2 Dependence to De-Escalate Neoadjuvant Chemotherapy in Patients With HER2+ Early Breast Cancer Undergoing HER2 Double-Blockade,ACTIVE_NOT_RECRUITING,PHASE2,Breast Cancer | HER2-positive Breast Cancer,,PHESGO
